,Quarter,Tm,Detail,WAS,CHI
0,1.0,Bears,Hugh Gallarneau 6 yard rush (Bob Snyder kick),0,7
1,2.0,Redskins,Andy Farkas 59 yard punt return (Ki Aldrich kick),7,7
2,2.0,Bears,Norm Standlee 2 yard rush (Bob Snyder kick),7,14
3,2.0,Bears,George McAfee 12 yard pass from Bob Snyder (Bob Snyder kick),7,21
4,3.0,Redskins,Ed Cifers 14 yard pass from Sammy Baugh (Bob Masterson kick),14,21
5,3.0,Bears,Bob Nowaskey 3 yard fumble return (Joe Stydahar kick),14,28
6,4.0,Bears,George McAfee 33 yard pass from Bob Snyder (Bob Snyder kick),14,35
7,4.0,Redskins,Bob Seymour 4 yard rush (Joe Aguirre kick),21,35
