,Quarter,Tm,Detail,DEN,OAK
0,1,Broncos,Fred Steinfort 41 yard field goal,3,0
1,3,Raiders,Jim Plunkett 8 yard rush,3,6
2,4,Raiders,Chris Bahr 44 yard field goal,3,9
