,Quarter,Tm,Detail,CHI,NYG
0,1.0,Bears,Bill Hewitt 29 yard pass from Bernie Masterson (Jack Manders kick),7,0
1,1.0,Bears,Bernie Masterson 8 yard rush,13,0
2,2.0,Giants,Tod Goodwin 23 yard pass from Ed Danowski (Tillie Manton kick),13,7
3,2.0,Bears,Ray Nolting 29 yard pass from Bernie Masterson,19,7
4,3.0,Bears,Bernie Masterson 1 yard rush,25,7
