,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Claude Crabb 53 yard interception return (Bob Khayat kick),0,7
1,1.0,Steelers,John Henry Johnson 3 yard rush (Lou Michaels kick),7,7
2,2.0,Redskins,Bobby Mitchell 19 yard pass from Norm Snead (Bob Khayat kick),7,14
3,2.0,Steelers,Gary Ballman 67 yard pass from Ed Brown (Lou Michaels kick),14,14
4,3.0,Steelers,John Henry Johnson 1 yard rush (Lou Michaels kick),21,14
5,3.0,Steelers,Lou Michaels 27 yard field goal,24,14
6,4.0,Redskins,Bobby Mitchell 20 yard pass from Billy Ray Barnes (Bob Khayat kick),24,21
7,4.0,Steelers,Lou Michaels 18 yard field goal,27,21
8,4.0,Redskins,Pat Richter 21 yard pass from Norm Snead (Bob Khayat kick),27,28
9,4.0,Steelers,Gary Ballman 92 yard kickoff return (Lou Michaels kick),34,28
