,Quarter,Tm,Detail,PIT,OAK
0,2.0,Raiders,Dave Casper 30 yard pass from Ken Stabler (Fred Steinfort kick),0,7
1,2.0,Steelers,Rocky Bleier 2 yard rush (Roy Gerela kick),7,7
2,3.0,Steelers,John Stallworth 47 yard rush (Roy Gerela kick),14,7
3,4.0,Steelers,Theo Bell 11 yard pass from Terry Bradshaw (Roy Gerela kick),21,7
4,4.0,Raiders,Fred Biletnikoff 21 yard pass from Ken Stabler (Fred Steinfort kick),21,14
5,4.0,Steelers,Franco Harris 3 yard rush (Roy Gerela kick),28,14
6,4.0,Raiders,Dave Casper 10 yard pass from Ken Stabler (Fred Steinfort kick),28,21
7,4.0,Raiders,Ken Stabler 2 yard rush (Fred Steinfort kick),28,28
8,4.0,Raiders,Fred Steinfort 21 yard field goal,28,31
