,Quarter,Tm,Detail,TAM,GNB
0,1.0,Packers,Chris Jacke 34 yard field goal,0,3
1,1.0,Buccaneers,Mark Carrier 20 yard pass from Vinny Testaverde (Eddie Murray kick),7,3
2,2.0,Packers,Chris Jacke 33 yard field goal,7,6
3,2.0,Packers,Chris Jacke 29 yard field goal,7,9
4,3.0,Packers,Chris Jacke 48 yard field goal,7,12
5,3.0,Buccaneers,Anthony McDowell 15 yard pass from Vinny Testaverde (Eddie Murray kick),14,12
6,4.0,Packers,Jackie Harris 9 yard pass from Brett Favre (Chris Jacke kick),14,19
