,Quarter,Tm,Detail,SDG,CLE
0,2.0,Chargers,Ray Wersching 11 yard field goal,3,0
1,2.0,Browns,Don Cockroft 40 yard field goal,3,3
2,2.0,Chargers,Mike Garrett 1 yard pass from Dan Fouts (Ron Holliday run),10,3
3,3.0,Browns,Don Cockroft 17 yard field goal,10,6
4,3.0,Chargers,Ray Wersching 8 yard field goal,13,6
5,4.0,Browns,Don Cockroft 42 yard field goal,13,9
6,4.0,Browns,Greg Pruitt 7 yard rush (Don Cockroft kick),13,16
7,4.0,Chargers,Ray Wersching 16 yard field goal,16,16
