,Quarter,Time,Tm,Detail,ARI,IND
0,1.0,,Cardinals,Greg Davis 24 yard field goal,3,0
1,2.0,,Cardinals,Greg Davis 29 yard field goal,6,0
2,2.0,,Colts,Zack Crockett 2 yard pass from Jim Harbaugh (Cary Blanchard kick),6,7
3,2.0,,Colts,Cary Blanchard 23 yard field goal,6,10
4,4.0,,Colts,Cary Blanchard 40 yard field goal,6,13
5,4.0,,Colts,Marvin Harrison 35 yard pass from Jim Harbaugh (Cary Blanchard kick),6,20
6,4.0,,Cardinals,Boomer Esiason 2 yard rush (Greg Davis kick),13,20
