,Quarter,Tm,Detail,CHI,OAK
0,1.0,Bears,Rickey Watts 42 yard pass from Vince Evans (John Roveto kick),7,0
1,1.0,Raiders,Bob Chandler 27 yard pass from Marc Wilson,7,6
2,3.0,Bears,Rickey Watts 3 yard pass from Vince Evans (John Roveto kick),14,6
3,3.0,Bears,Ken Margerum 22 yard pass from Vince Evans (John Roveto kick),21,6
4,4.0,Bears,"Safety, Wilson tackled in end zone",23,6
