,Quarter,Tm,Detail,CHI,MIA
0,1.0,Dolphins,Garo Yepremian 43 yard field goal,0,3
1,1.0,Dolphins,Larry Csonka 2 yard rush (Garo Yepremian kick),0,10
2,2.0,Dolphins,Marv Fleming 6 yard pass from Bob Griese (Garo Yepremian kick),0,17
3,2.0,Dolphins,Garo Yepremian 35 yard field goal,0,20
4,3.0,Dolphins,Larry Csonka 10 yard pass from Bob Griese (Garo Yepremian kick),0,27
5,3.0,Bears,Mac Percival 15 yard field goal,3,27
6,4.0,Dolphins,Otto Stowe 13 yard pass from George Mira (Garo Yepremian kick),3,34
