,Quarter,Tm,Detail,HOU,MIA
0,1.0,Dolphins,Bill Stanfill 17 yard interception return (Karl Kremser kick),0,7
1,2.0,Oilers,Roy Hopkins 1 yard rush (Roy Gerela kick),7,7
2,2.0,Oilers,Roy Gerela 21 yard field goal,10,7
3,3.0,Oilers,Jerry LeVias 21 yard pass from Pete Beathard (Roy Gerela kick),17,7
4,4.0,Oilers,Roy Gerela 10 yard field goal,20,7
5,4.0,Oilers,"Safety, Norton tackled in end zone by Bethea)",22,7
6,4.0,Oilers,Roy Gerela 18 yard field goal,25,7
7,4.0,Oilers,Jim Beirne 6 yard pass from Pete Beathard (Roy Gerela kick),32,7
