,Quarter,Tm,Detail,STL,DET
0,1.0,Cardinals,Jim Bakken 29 yard field goal,3,0
1,2.0,Lions,Errol Mann 14 yard field goal,3,3
2,2.0,Lions,Errol Mann 13 yard field goal,3,6
3,2.0,Lions,Errol Mann 10 yard field goal,3,9
4,4.0,Lions,Mel Farr 28 yard rush (Errol Mann kick),3,16
