,Quarter,Tm,Detail,NYJ,KAN
0,1.0,Jets,John Riggins 1 yard rush (Pat Leahy kick),7,0
1,1.0,Jets,Carl Garrett 1 yard rush (Pat Leahy kick),14,0
2,1.0,Chiefs,Woody Green 4 yard rush (Jan Stenerud kick),14,7
3,2.0,Chiefs,Ed Podolak 10 yard rush (Jan Stenerud kick),14,14
4,2.0,Jets,Pat Leahy 32 yard field goal,17,14
5,3.0,Jets,John Riggins 2 yard rush (pass failed),23,14
6,3.0,Chiefs,Barry Pearson 36 yard pass from Len Dawson (Jan Stenerud kick),23,21
7,4.0,Jets,Rich Caster 9 yard pass from Joe Namath (Pat Leahy kick),30,21
8,4.0,Chiefs,Jan Stenerud 35 yard field goal,30,24
