,Quarter,Time,Tm,Detail,CIN,SEA
0,1.0,6:44,Bengals,Mike Nugent 34 yard field goal,3,0
1,1.0,3:47,Bengals,Jerome Simpson 14 yard pass from Andy Dalton (Mike Nugent kick),10,0
2,2.0,14:55,Seahawks,Stephen Hauschka 47 yard field goal,10,3
3,2.0,1:51,Bengals,A.J. Green 43 yard pass from Andy Dalton (Mike Nugent kick),17,3
4,3.0,0:04,Seahawks,Stephen Hauschka 25 yard field goal,17,6
5,4.0,8:55,Seahawks,Marshawn Lynch 2 yard rush (pass failed),17,12
6,4.0,4:50,Bengals,Mike Nugent 48 yard field goal,20,12
7,4.0,3:22,Bengals,Brandon Tate 56 yard punt return (Mike Nugent kick),27,12
8,4.0,0:36,Bengals,Reggie Nelson 75 yard interception return (Mike Nugent kick),34,12
