,Quarter,Tm,Detail,DET,CIN
0,1.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),0,7
1,2.0,Bengals,Pete Johnson 2 yard rush (Jim Breech kick),0,14
2,2.0,Lions,Eddie Murray 54 yard field goal,3,14
3,2.0,Lions,Eddie Murray 37 yard field goal,6,14
4,3.0,Bengals,Jim Breech 28 yard field goal,6,17
5,3.0,Lions,Eddie Murray 29 yard field goal,9,17
