,Quarter,Tm,Detail,NYG,BCL
0,1.0,Colts,Joel Williams 50 yard touchdown on a lateral,0,6
1,2.0,Colts,Billy Stone 35 yard pass from Y.A. Tittle (Veto Kissell kick),0,13
2,2.0,Colts,Hal Crisler 15 yard pass from Y.A. Tittle (Veto Kissell kick),0,20
3,2.0,Giants,Eddie Price 1 yard rush (Ray Poole kick),7,20
4,3.0,Giants,Bob McChesney 5 yard pass from Travis Tidwell (Ray Poole kick),14,20
5,3.0,Giants,Bob McChesney 24 yard pass from Travis Tidwell (Ray Poole kick),21,20
6,3.0,Giants,Travis Tidwell 1 yard rush (Ray Poole kick),28,20
7,4.0,Giants,Jim Ostendarp 6 yard rush (Ray Poole kick),35,20
8,4.0,Giants,Eddie Price 11 yard rush,41,20
9,4.0,Giants,Randy Clay 1 yard rush (Ray Poole kick),48,20
10,4.0,Giants,Bob Jackson 1 yard rush (Ray Poole kick),55,20
