,Quarter,Tm,Detail,IND,MIA
0,1.0,Dolphins,Lorenzo Hampton 6 yard rush (Fuad Reveiz kick),0,7
1,1.0,Dolphins,Dan Johnson 4 yard pass from Dan Marino (Fuad Reveiz kick),0,14
2,1.0,Colts,Eric Dickerson 4 yard rush (Dean Biasucci kick),7,14
3,2.0,Colts,Bill Brooks 7 yard pass from Gary Hogeboom (Dean Biasucci kick),14,14
4,2.0,Colts,Dean Biasucci 22 yard field goal,17,14
5,2.0,Dolphins,Fred Banks 10 yard pass from Dan Marino (Fuad Reveiz kick),17,21
6,2.0,Colts,Dean Biasucci 32 yard field goal,20,21
7,3.0,Colts,Dean Biasucci 25 yard field goal,23,21
8,4.0,Colts,Dean Biasucci 23 yard field goal,26,21
9,4.0,Colts,Albert Bentley 17 yard rush (Dean Biasucci kick),33,21
10,4.0,Colts,Albert Bentley 2 yard rush (Dean Biasucci kick),40,21
