,Quarter,Time,Tm,Detail,KAN,SEA
0,1.0,11:31,Chiefs,Dwayne Bowe 7 yard pass from Matt Cassel (Ryan Succop kick),7,0
1,1.0,0:31,Seahawks,Kennard Cox 10 yard blocked punt return (Olindo Mare kick),7,7
2,2.0,7:18,Chiefs,Shaun Smith 1 yard rush (Ryan Succop kick),14,7
3,2.0,1:12,Chiefs,Dwayne Bowe 36 yard pass from Matt Cassel (Ryan Succop kick),21,7
4,2.0,0:00,Seahawks,Olindo Mare 43 yard field goal,21,10
5,3.0,14:03,Seahawks,Chris Baker 13 yard pass from Matt Hasselbeck (Olindo Mare kick),21,17
6,4.0,14:54,Chiefs,Jamaal Charles 3 yard rush (Ryan Succop kick),28,17
7,4.0,12:43,Chiefs,Dwayne Bowe 9 yard pass from Matt Cassel (Ryan Succop kick),35,17
8,4.0,10:16,Seahawks,Ben Obomanu 87 yard pass from Matt Hasselbeck (Olindo Mare kick),35,24
9,4.0,3:36,Chiefs,Tony Moeaki 6 yard pass from Matt Cassel (Ryan Succop kick),42,24
