,Quarter,Tm,Detail,NOR,CLE
0,1.0,Saints,Charlie Durkee 42 yard field goal,3,0
1,2.0,Browns,Leroy Kelly 5 yard pass from Bill Nelsen (Don Cockroft kick),3,7
2,2.0,Browns,Paul Warfield 12 yard pass from Bill Nelsen (Don Cockroft kick),3,14
3,3.0,Saints,Danny Abramowicz 8 yard pass from Karl Sweetan (Charlie Durkee kick),10,14
4,3.0,Browns,Leroy Kelly 68 yard pass from Bill Nelsen (Don Cockroft kick),10,21
5,3.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),10,28
6,4.0,Browns,Milt Morin 9 yard pass from Bill Nelsen (Don Cockroft kick),10,35
7,4.0,Saints,Jimmy Hester 7 yard pass from Ronnie Lee South (Charlie Durkee kick),17,35
