,Quarter,Tm,Detail,BUF,NOR
0,1.0,Bills,Steve Christie 25 yard field goal,3,0
1,1.0,Saints,Morten Andersen 35 yard field goal,3,3
2,1.0,Saints,Morten Andersen 27 yard field goal,3,6
3,2.0,Saints,Torrance Small 20 yard pass from Bobby Hebert (Morten Andersen kick),3,13
4,3.0,Bills,Thurman Thomas 6 yard rush (Steve Christie kick),10,13
5,3.0,Saints,Morten Andersen 42 yard field goal,10,16
6,4.0,Bills,Thurman Thomas 2 yard rush (Steve Christie kick),17,16
7,4.0,Bills,Steve Christie 29 yard field goal,20,16
