,Quarter,Tm,Detail,NWE,CLE
0,4.0,Browns,Ricky Feacher 40 yard pass from Brian Sipe (Matt Bahr kick),0,7
1,4.0,Patriots,Preston Brown 38 yard pass from Matt Cavanaugh (Rex Robinson kick),7,7
2,4.0,Browns,Matt Bahr 24 yard field goal,7,10
