,Quarter,Time,Tm,Detail,MIA,STL
0,1.0,10:49,Rams,Josh Brown 23 yard field goal,0,3
1,1.0,1:45,Rams,Josh Brown 51 yard field goal,0,6
2,2.0,10:59,Dolphins,Ronnie Brown 3 yard rush (Dan Carpenter kick),7,6
3,2.0,1:51,Rams,Josh Brown 33 yard field goal,7,9
4,2.0,0:00,Dolphins,Dan Carpenter 37 yard field goal,10,9
5,3.0,6:10,Dolphins,Dan Carpenter 47 yard field goal,13,9
6,4.0,12:14,Rams,Josh Brown 38 yard field goal,13,12
7,4.0,6:39,Dolphins,Dan Carpenter 42 yard field goal,16,12
