,Quarter,Tm,Detail,NYG,PIT
0,2,Giants,Kink Richards 13 yard pass from Ed Danowski (Tillie Manton kick),7,0
1,3,Pirates,Bull Karcis 4 yard rush (Armand Niccolai kick),7,7
2,4,Giants,Tillie Manton 13 yard field goal,10,7
