,Quarter,Time,Tm,Detail,DET,TAM
0,1.0,,Buccaneers,Michael Husted 23 yard field goal,0,3
1,1.0,,Buccaneers,Vernon Turner 80 yard punt return (Michael Husted kick),0,10
2,2.0,,Buccaneers,Charles Wilson 35 yard pass from Craig Erickson (Michael Husted kick),0,17
3,2.0,,Lions,Scott Mitchell 5 yard rush (Jason Hanson kick),7,17
4,2.0,,Lions,Derrick Moore 5 yard rush (Jason Hanson kick),14,17
5,3.0,,Buccaneers,Errict Rhett 1 yard rush (Michael Husted kick),14,24
