,Quarter,Tm,Detail,TAM,BAL
0,2.0,Buccaneers,Dave Green 40 yard field goal,3,0
1,2.0,Colts,Roosevelt Leaks 1 yard rush (Toni Linhart kick),3,7
2,2.0,Colts,Toni Linhart 32 yard field goal,3,10
3,2.0,Colts,Roosevelt Leaks 1 yard rush (Toni Linhart kick),3,17
4,2.0,Colts,Roger Carr 48 yard pass from Bert Jones (Toni Linhart kick),3,24
5,3.0,Colts,Lydell Mitchell 24 yard pass from Bert Jones,3,30
6,3.0,Colts,Toni Linhart 38 yard field goal,3,33
7,4.0,Colts,Don McCauley 2 yard rush (Toni Linhart kick),3,40
8,4.0,Colts,"Safety, Fernandez tackled Dickinson in end zone",3,42
9,4.0,Buccaneers,Danny Reece 44 yard defensive fumble return (Dave Green kick),10,42
10,4.0,Buccaneers,Charlie Davis 1 yard rush (Dave Green kick),17,42
