,Quarter,Tm,Detail,NYG,CRD
0,1.0,Cardinals,Cliff Anderson 22 yard pass from Charley Trippi,0,6
1,1.0,Giants,Eddie Price 75 yard rush (Ray Poole kick),7,6
2,2.0,Giants,Eddie Price 3 yard rush (Ray Poole kick),14,6
3,2.0,Giants,Bill Stribling 52 yard pass from Charlie Conerly (Ray Poole kick),21,6
4,4.0,Giants,Bob McChesney 39 yard pass from Charlie Conerly (Ray Poole kick),28,6
