,Quarter,Tm,Detail,HOU,DET
0,2.0,Lions,Barry Sanders 1 yard rush (Jason Hanson kick),0,7
1,2.0,Oilers,Al Del Greco 30 yard field goal,3,7
2,3.0,Oilers,William Fuller 10 yard defensive fumble return (Al Del Greco kick),10,7
3,3.0,Lions,Herman Moore 77 yard pass from Erik Kramer (Jason Hanson kick),10,14
4,4.0,Oilers,Haywood Jeffires 4 yard pass from Cody Carlson (Al Del Greco kick),17,14
5,4.0,Lions,Barry Sanders 8 yard pass from Erik Kramer (Jason Hanson kick),17,21
6,4.0,Oilers,Lorenzo White 8 yard rush (Al Del Greco kick),24,21
