,Quarter,Tm,Detail,BKN,TOR
0,2.0,Dodgers,Rex Thomas 10 yard pass from Jack McBride (Rex Thomas kick),7,0
1,2.0,Dodgers,Rex Thomas 22 yard pass from Jack McBride (Jack McBride kick),14,0
