,Quarter,Tm,Detail,CLE,HOU
0,1.0,Oilers,Don Hardeman 2 yard rush (Skip Butler kick),0,7
1,1.0,Oilers,Ken Burrough 75 yard pass from Dan Pastorini (Skip Butler kick),0,14
2,2.0,Oilers,Ronnie Coleman 2 yard rush (Skip Butler kick),0,21
3,3.0,Browns,Don Cockroft 42 yard field goal,3,21
4,4.0,Browns,Ken Brown 4 yard rush (Don Cockroft kick),10,21
