,Quarter,Tm,Detail,SIS,NYG
0,2,Giants,Len Sedbrook 15 yard pass from Benny Friedman,0,6
1,1,Stapletons,"Safety, Leary tackled Wilson in end zone",2,6
2,2,Stapletons,Ken Strong unknown yard rush (Ken Strong kick),9,6
3,3,Giants,Hap Moran 20 yard pass from Benny Friedman,9,12
4,4,Giants,Hap Moran 15 yard pass from Jack Hagerty (Benny Friedman kick),9,19
