,Quarter,Time,Tm,Detail,KAN,BAL
0,1.0,9:24,Ravens,Justin Tucker 26 yard field goal,0,3
1,1.0,6:48,Chiefs,Patrick Mahomes 3 yard rush (Harrison Butker kick failed),6,3
2,2.0,12:55,Chiefs,Anthony Sherman 5 yard pass from Patrick Mahomes (Harrison Butker kick),13,3
3,2.0,12:52,Ravens,Devin Duvernay 93 yard kickoff return (Justin Tucker kick),13,10
4,2.0,6:46,Chiefs,Tyreek Hill 20 yard pass from Patrick Mahomes (Harrison Butker kick),20,10
5,2.0,1:54,Chiefs,Mecole Hardman 49 yard pass from Patrick Mahomes (Harrison Butker kick),27,10
6,3.0,6:17,Ravens,Justin Tucker 42 yard field goal,27,13
7,4.0,15:00,Ravens,Nick Boyle 5 yard pass from Lamar Jackson (Justin Tucker kick),27,20
8,4.0,8:19,Chiefs,Eric Fisher 2 yard pass from Patrick Mahomes (Harrison Butker kick),34,20
