,Quarter,Tm,Detail,SFO,PHI
0,1.0,49ers,John Taylor 21 yard pass from Steve Young (Mike Cofer kick),7,0
1,2.0,Eagles,Keith Byars 19 yard pass from Jim McMahon (Roger Ruzek kick),7,7
2,2.0,49ers,Tom Rathman 2 yard rush (Mike Cofer kick),14,7
3,3.0,49ers,Mike Cofer 45 yard field goal,17,7
4,4.0,49ers,Mike Cofer 25 yard field goal,20,7
5,4.0,49ers,Mike Cofer 50 yard field goal,23,7
