,Quarter,Tm,Detail,CLE,PIT
0,1.0,Steelers,Joe Geri 30 yard field goal,0,3
1,1.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),7,3
2,2.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),14,3
3,2.0,Browns,Dub Jones 7 yard rush (Lou Groza kick),21,3
4,3.0,Browns,"Safety, Chandnois tackled in end zone by Kissell",23,3
5,3.0,Steelers,Charlie Seabright 13 yard pass from Joe Geri (Joe Geri kick),23,10
6,4.0,Browns,Dub Jones 48 yard rush (Lou Groza kick),30,10
7,4.0,Steelers,Jerry Shipkey 1 yard rush (Joe Geri kick),30,17
