,Quarter,Tm,Detail,KAN,HOU
0,1.0,Oilers,Al Del Greco 49 yard field goal,0,3
1,1.0,Oilers,Gary Brown 2 yard rush (Al Del Greco kick),0,10
2,3.0,Chiefs,Keith Cash 7 yard pass from Joe Montana (Nick Lowery kick),7,10
3,4.0,Oilers,Al Del Greco 43 yard field goal,7,13
4,4.0,Chiefs,J.J. Birden 11 yard pass from Joe Montana (Nick Lowery kick),14,13
5,4.0,Chiefs,Willie Davis 18 yard pass from Joe Montana (Nick Lowery kick),21,13
6,4.0,Oilers,Ernest Givins 7 yard pass from Warren Moon (Al Del Greco kick),21,20
7,4.0,Chiefs,Marcus Allen 21 yard rush (Nick Lowery kick),28,20
