,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,,Packers,Anthony Morgan 26 yard pass from Brett Favre (Chris Jacke kick),7,0
1,1.0,,Lions,Jason Hanson 27 yard field goal,7,3
2,1.0,9:03,Packers,Robert Brooks 98 yard kickoff return (Chris Jacke kick),14,3
3,2.0,9:03,Lions,Herman Moore 24 yard pass from Dave Krieg (Jason Hanson kick),14,10
4,2.0,9:03,Lions,Barry Sanders 13 yard rush (Jason Hanson kick),14,17
5,2.0,9:03,Packers,Sterling Sharpe 22 yard pass from Brett Favre (Chris Jacke kick),21,17
6,2.0,9:03,Lions,Scott Conover 1 yard pass from Dave Krieg (Jason Hanson kick),21,24
7,3.0,9:03,Packers,Chris Jacke 24 yard field goal,24,24
8,3.0,9:03,Packers,Anthony Morgan 47 yard pass from Brett Favre (Chris Jacke kick),31,24
9,3.0,9:03,Lions,Jason Hanson 34 yard field goal,31,27
10,4.0,9:03,Lions,Derrick Moore 1 yard rush (Jason Hanson kick),31,34
