,Quarter,Tm,Detail,CRD,DET
0,1.0,Lions,John Greene 61 yard pass from Chuck Fenenbock (Bill Callihan kick),0,7
1,2.0,Lions,Jack Matheson 8 yard pass from Chuck Fenenbock (Bill Callihan kick),0,14
2,2.0,Lions,Bob Westfall 9 yard pass from Chuck Fenenbock,0,20
3,4.0,Lions,Dave Ryan 1 yard rush,0,26
