,Quarter,Tm,Detail,CHI,HOU
0,2.0,Oilers,Al Del Greco 19 yard field goal,0,3
1,2.0,Oilers,Bubba McDowell 26 yard interception return (Al Del Greco kick),0,10
2,3.0,Oilers,Webster Slaughter 6 yard pass from Cody Carlson (Al Del Greco kick),0,17
3,4.0,Bears,Neal Anderson 17 yard pass from Peter Tom Willis (Kevin Butler kick),7,17
4,4.0,Oilers,Lorenzo White 1 yard rush (Al Del Greco kick),7,24
