,Quarter,Tm,Detail,SFO,STL
0,1.0,49ers,J.D. Smith 1 yard rush (Tommy Davis kick),7,0
1,2.0,49ers,John Brodie 2 yard rush (Tommy Davis kick),14,0
2,2.0,Cardinals,John David Crow 1 yard rush (Gerry Perry kick),14,7
3,2.0,49ers,Tommy Davis 23 yard field goal,17,7
4,3.0,Cardinals,Gerry Perry 21 yard field goal,17,10
5,4.0,49ers,John Brodie 3 yard rush (Tommy Davis kick),24,10
6,4.0,Cardinals,Bobby Joe Conrad 14 yard pass from Charley Johnson (Gerry Perry kick),24,17
