,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Jerry Rice 24 yard pass from Joe Montana (Mike Cofer kick),7,0
1,1.0,Falcons,Andre Rison 75 yard pass from Chris Miller (Greg Davis kick),7,7
2,1.0,49ers,Jerry Rice 25 yard pass from Joe Montana (Mike Cofer kick),14,7
3,2.0,Falcons,Bobby Butler 62 yard blocked punt return (Greg Davis kick),14,14
4,2.0,49ers,Mike Sherrard 43 yard pass from Joe Montana (Mike Cofer kick),21,14
5,2.0,49ers,Jerry Rice 19 yard pass from Joe Montana (Mike Cofer kick),28,14
6,2.0,Falcons,James Milling 5 yard pass from Chris Miller (Greg Davis kick),28,21
7,2.0,49ers,Mike Cofer 56 yard field goal,31,21
8,3.0,49ers,Jerry Rice 13 yard pass from Joe Montana (Mike Cofer kick),38,21
9,4.0,49ers,Jerry Rice 15 yard pass from Joe Montana (Mike Cofer kick),45,21
10,4.0,Falcons,Gary Wilkins 3 yard pass from Chris Miller (Greg Davis kick),45,28
11,4.0,Falcons,Andre Rison 13 yard pass from Scott Campbell (Greg Davis kick),45,35
