,Quarter,Tm,Detail,KAN,DEN
0,1.0,Broncos,Gene Lang 3 yard rush (Rich Karlis kick),0,7
1,2.0,Broncos,Rich Karlis 20 yard field goal,0,10
2,2.0,Chiefs,Nick Lowery 33 yard field goal,3,10
3,2.0,Broncos,Sammy Winder 8 yard pass from John Elway (Rich Karlis kick),3,17
4,3.0,Chiefs,Herman Heard 64 yard rush (Nick Lowery kick),10,17
5,3.0,Broncos,Rich Karlis 43 yard field goal,10,20
6,4.0,Chiefs,Stephone Paige 8 yard pass from Bill Kenney (Nick Lowery kick),17,20
