,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Gary Anderson 18 yard field goal,0,3
1,2.0,Steelers,Merril Hoge 4 yard rush (Gary Anderson kick),0,10
2,2.0,Oilers,Curtis Duncan 18 yard pass from Warren Moon (Tony Zendejas kick),7,10
3,2.0,Oilers,Drew Hill 27 yard pass from Warren Moon (Tony Zendejas kick),14,10
4,3.0,Steelers,Gary Anderson 37 yard field goal,14,13
5,3.0,Oilers,"Safety, McDowell tackled Newsome in end zone",16,13
6,4.0,Steelers,Gary Anderson 18 yard field goal,16,16
7,4.0,Oilers,Lorenzo White 1 yard rush (Tony Zendejas kick),23,16
