,Quarter,Time,Tm,Detail,TEN,HOU
0,1.0,10:31,Texans,C.J. Fiedorowicz 14 yard pass from Brock Osweiler (Nick Novak kick),0,7
1,1.0,5:34,Texans,Will Fuller 5 yard pass from Brock Osweiler (Nick Novak kick),0,14
2,1.0,2:36,Titans,Ryan Succop 48 yard field goal,3,14
3,2.0,13:42,Texans,Nick Novak 53 yard field goal,3,17
4,2.0,11:21,Titans,DeMarco Murray 2 yard rush (Ryan Succop kick),10,17
5,2.0,2:28,Titans,DeMarco Murray 1 yard rush (Ryan Succop kick),17,17
6,2.0,0:07,Texans,Nick Novak 45 yard field goal,17,20
7,3.0,7:04,Titans,Ryan Succop 26 yard field goal,20,20
8,3.0,0:56,Texans,Will Fuller 67 yard punt return (Nick Novak kick),20,27
