,Quarter,Time,Tm,Detail,KAN,TAM
0,1.0,11:59,Chiefs,Pete Stoyanovich 20 yard field goal,3,0
1,2.0,8:49,Buccaneers,Dave Moore 35 yard pass from Trent Dilfer (Martin Gramatica kick),3,7
2,2.0,0:28,Buccaneers,Martin Gramatica 25 yard field goal,3,10
3,3.0,2:38,Buccaneers,Jacquez Green 52 yard pass from Trent Dilfer (Martin Gramatica kick),3,17
4,4.0,10:40,Chiefs,Joe Horn 50 yard pass from Elvis Grbac (Pete Stoyanovich kick),10,17
