,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Dan Reeves 51 yard pass from Don Meredith (Danny Villanueva kick),0,7
1,1.0,Cowboys,Bob Hayes 24 yard pass from Don Meredith (Danny Villanueva kick),0,14
2,1.0,Cowboys,Bob Hayes 36 yard pass from Don Meredith (Danny Villanueva kick),0,21
3,2.0,Cowboys,Dan Reeves 2 yard rush (Danny Villanueva kick),0,28
4,3.0,Cowboys,Frank Clarke 23 yard pass from Don Meredith (Danny Villanueva kick),0,35
5,3.0,Cowboys,Bob Hayes 12 yard pass from Don Meredith (Danny Villanueva kick),0,42
6,4.0,Cowboys,Walt Garrison 2 yard rush (Danny Villanueva kick),0,49
7,4.0,Eagles,Pete Retzlaff 16 yard pass from King Hill (Sam Baker kick),7,49
8,4.0,Cowboys,Les Shy 1 yard rush (Danny Villanueva kick),7,56
