,Quarter,Tm,Detail,SDG,DEN
0,1.0,Broncos,Riley Odoms 19 yard pass from Craig Morton (Fred Steinfort kick),0,7
1,1.0,Broncos,Steve Watson 93 yard pass from Craig Morton (Fred Steinfort kick),0,14
2,1.0,Broncos,James Wright 2 yard pass from Craig Morton (Fred Steinfort kick),0,21
3,2.0,Broncos,Steve Watson 21 yard pass from Craig Morton (Fred Steinfort kick),0,28
4,3.0,Broncos,Dave Preston 2 yard rush (Fred Steinfort kick),0,35
5,3.0,Chargers,Ron Smith 39 yard pass from Dan Fouts (Rolf Benirschke kick),7,35
6,3.0,Chargers,Rolf Benirschke 52 yard field goal,10,35
7,4.0,Chargers,John Cappelletti 1 yard rush (Rolf Benirschke kick),17,35
8,4.0,Chargers,Kellen Winslow 1 yard pass from Dan Fouts (Rolf Benirschke kick),24,35
9,4.0,Broncos,Rob Lytle 3 yard rush (Fred Steinfort kick),24,42
