,Quarter,Time,Tm,Detail,DAL,SFO
0,1.0,,Cowboys,Michael Irvin 5 yard pass from Troy Aikman (Richie Cunningham kick),7,0
1,3.0,,49ers,Garrison Hearst 8 yard rush (Gary Anderson kick),7,7
2,3.0,,Cowboys,Richie Cunningham 21 yard field goal,10,7
3,4.0,,49ers,William Floyd 1 yard rush (Gary Anderson kick),10,14
4,4.0,,49ers,Gary Anderson 28 yard field goal,10,17
