,Quarter,Time,Tm,Detail,NOR,TAM
0,1.0,8:49,Saints,Wil Lutz 44 yard field goal,3,0
1,1.0,0:54,Saints,Wil Lutz 26 yard field goal,6,0
2,1.0,0:03,Saints,Michael Thomas 16 yard pass from Drew Brees (Wil Lutz kick),13,0
3,2.0,5:19,Saints,Jared Cook 3 yard pass from Drew Brees (Wil Lutz kick),20,0
4,2.0,2:47,Buccaneers,Peyton Barber 6 yard pass from Jameis Winston (Matt Gay kick),20,7
5,3.0,11:13,Buccaneers,Matt Gay 55 yard field goal,20,10
6,3.0,5:32,Saints,Ted Ginn Jr. 6 yard pass from Drew Brees (Wil Lutz kick),27,10
7,3.0,1:31,Buccaneers,Chris Godwin 30 yard pass from Jameis Winston (Matt Gay kick),27,17
8,4.0,5:19,Saints,Marcus Williams 55 yard interception return (Wil Lutz kick),34,17
