,Quarter,Tm,Detail,KAN,PIT
0,1.0,Steelers,Gary Anderson 41 yard field goal,0,3
1,1.0,Steelers,Louis Lipps 16 yard pass from Bubby Brister (Gary Anderson kick),0,10
2,2.0,Steelers,Gary Anderson 47 yard field goal,0,13
3,2.0,Steelers,Gary Anderson 29 yard field goal,0,16
4,2.0,Chiefs,Nick Lowery 50 yard field goal,3,16
5,3.0,Chiefs,Pete Mandley 8 yard pass from Steve DeBerg (Nick Lowery kick),10,16
6,3.0,Chiefs,Bill Maas 4 yard defensive fumble return (Nick Lowery kick),17,16
7,3.0,Steelers,Louis Lipps 64 yard pass from Bubby Brister (Gary Anderson kick),17,23
