,Quarter,Time,Tm,Detail,SFO,WAS
0,1.0,,Redskins,Leslie Shepherd 9 yard pass from Trent Green (Scott Blanton kick),0,7
1,1.0,,49ers,Terrell Owens 20 yard pass from Steve Young (Wade Richey kick),7,7
2,2.0,,49ers,Steve Young 3 yard rush (Wade Richey kick),14,7
3,2.0,,Redskins,Scott Blanton 37 yard field goal,14,10
4,2.0,,49ers,Irv Smith 16 yard pass from Steve Young (Wade Richey kick),21,10
5,3.0,,49ers,Marc Edwards 2 yard pass from Steve Young (Wade Richey kick),28,10
6,4.0,,49ers,Garrison Hearst 5 yard rush (Wade Richey kick),35,10
7,4.0,,49ers,Wade Richey 22 yard field goal,38,10
8,4.0,,49ers,Chuck Levy 21 yard rush (Wade Richey kick),45,10
