,Quarter,Tm,Detail,GNB,MIA
0,1.0,Dolphins,Pete Stoyanovich 43 yard field goal,0,3
1,1.0,Dolphins,Pete Stoyanovich 52 yard field goal,0,6
2,2.0,Packers,Chris Jacke 28 yard field goal,3,6
3,2.0,Packers,Chris Jacke 34 yard field goal,6,6
4,2.0,Packers,Ed West 14 yard pass from Don Majkowski (Chris Jacke kick),13,6
5,4.0,Dolphins,Chuck Klingbeil defensive fumble recovery in end zone (Pete Stoyanovich kick),13,13
6,4.0,Dolphins,Pete Stoyanovich 31 yard field goal,13,16
