,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Jim Gallery 26 yard field goal,0,3
1,1.0,Steelers,Gary Anderson 38 yard field goal,3,3
2,2.0,Bengals,Eddie Brown 27 yard pass from Boomer Esiason (Jim Gallery kick),3,10
3,2.0,Bengals,Jim Gallery 47 yard field goal,3,13
4,2.0,Bengals,Ickey Woods 1 yard rush (Jim Gallery kick),3,20
5,3.0,Steelers,Derek Hill 7 yard pass from Bubby Brister (Gary Anderson kick),10,20
6,3.0,Bengals,Stanford Jennings 1 yard rush (Jim Gallery kick),10,27
7,4.0,Bengals,James Brooks 2 yard rush (Jim Gallery kick),10,34
8,4.0,Bengals,Stanford Jennings 43 yard pass from Boomer Esiason (Jim Gallery kick),10,41
