,Quarter,Tm,Detail,PHI,NOR
0,1.0,Saints,George Rogers 5 yard rush (Benny Ricardo kick),0,7
1,1.0,Eagles,Keith Krepfle 11 yard pass from Ron Jaworski (Tony Franklin kick),7,7
2,1.0,Eagles,Booker Russell 1 yard rush (Tony Franklin kick),14,7
3,2.0,Eagles,Booker Russell 1 yard rush (Reggie Wilkes pass from Ron Jaworski),21,7
4,2.0,Eagles,Tony Franklin 22 yard field goal,24,7
5,3.0,Eagles,Frank LeMaster 47 yard defensive fumble return (Tony Franklin kick),31,7
6,4.0,Saints,George Rogers 3 yard rush (Benny Ricardo kick),31,14
