,Quarter,Tm,Detail,DAL,MIN
0,2.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),0,7
1,3.0,Cowboys,Doug Dennison 4 yard rush (Toni Fritsch kick),7,7
2,4.0,Cowboys,Toni Fritsch 24 yard field goal,10,7
3,4.0,Vikings,Brent McClanahan 1 yard rush (Fred Cox kick),10,14
4,4.0,Cowboys,Drew Pearson 50 yard pass from Roger Staubach (Toni Fritsch kick),17,14
