,Quarter,Tm,Detail,KAN,RAM
0,1.0,Chiefs,Billy Jackson 1 yard rush (Nick Lowery kick),7,0
1,2.0,Rams,Wendell Tyler 1 yard rush (Mike Lansford kick),7,7
2,2.0,Rams,Wendell Tyler 23 yard rush (Mike Lansford kick),7,14
3,3.0,Rams,LeRoy Irvin 63 yard punt return,7,20
4,4.0,Chiefs,J.T. Smith 35 yard pass from Steve Fuller (Nick Lowery kick),14,20
