,Quarter,Time,Tm,Detail,HOU,IND
0,1.0,0:44,Colts,Mike Vanderjagt 31 yard field goal,0,3
1,2.0,11:14,Texans,Domanick Williams 15 yard rush (Kris Brown kick),7,3
2,2.0,4:55,Texans,Billy Miller 1 yard pass from David Carr (Kris Brown kick),14,3
3,2.0,1:54,Colts,Marcus Pollard 1 yard pass from Peyton Manning (Mike Vanderjagt kick),14,10
4,2.0,0:15,Colts,Reggie Wayne 2 yard pass from Peyton Manning (Mike Vanderjagt kick),14,17
5,3.0,14:03,Colts,Reggie Wayne 57 yard pass from Peyton Manning (Mike Vanderjagt kick),14,24
6,3.0,4:34,Colts,Mike Vanderjagt 29 yard field goal,14,27
7,4.0,12:31,Texans,Domanick Williams 2 yard rush (Kris Brown kick),21,27
8,4.0,5:16,Colts,Mike Vanderjagt 22 yard field goal,21,30
