,Quarter,Time,Tm,Detail,BUF,NWE
0,1.0,3:09,Patriots,Kevin Faulk 6 yard pass from Tom Brady (Adam Vinatieri kick),0,7
1,2.0,11:38,Bills,Jake Arians 24 yard field goal,3,7
2,3.0,7:27,Patriots,Antowain Smith 1 yard rush (Adam Vinatieri kick),3,14
3,4.0,2:43,Bills,Peerless Price 17 yard pass from Alex Van Pelt (Eric Moulds pass from Alex Van Pelt),11,14
4,4.0,1:52,Patriots,Antowain Smith 42 yard rush (Adam Vinatieri kick),11,21
