,Quarter,Tm,Detail,DET,GNB
0,1.0,Lions,Jim Martin 48 yard field goal,3,0
1,2.0,Lions,Don McIlhenny 1 yard rush (Bobby Layne kick),10,0
2,2.0,Packers,Fred Cone 45 yard field goal,10,3
3,3.0,Packers,Gary Knafelc 5 yard pass from Tobin Rote,10,9
4,4.0,Lions,Bobby Layne 12 yard field goal,13,9
5,4.0,Lions,Bobby Layne 1 yard rush (Bobby Layne kick),20,9
6,4.0,Packers,Billy Howton 8 yard pass from Tobin Rote (Fred Cone kick),20,16
