,Quarter,Time,Tm,Detail,DEN,KAN
0,1.0,,Chiefs,Webster Slaughter 5 yard pass from Steve Bono (Lin Elliott kick),0,7
1,2.0,,Chiefs,Steve Bono 5 yard rush (Lin Elliott kick),0,14
2,2.0,,Broncos,Ray Crockett 50 yard defensive fumble return (Jason Elam kick),7,14
3,3.0,,Broncos,Jason Elam 49 yard field goal,10,14
4,4.0,,Chiefs,Vaughn Booker 14 yard defensive fumble return (pass failed),10,20
5,4.0,,Broncos,Mike Pritchard 3 yard pass from John Elway (Jason Elam kick),17,20
