,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Leon Bright 9 yard pass from Scott Brunner,6,0
1,1.0,Giants,John Mistler 10 yard pass from Scott Brunner (Joe Danelo kick),13,0
2,1.0,Giants,Mark Haynes special teams fumble recovery in end zone (Joe Danelo kick),20,0
3,2.0,Eagles,Harold Carmichael 15 yard pass from Ron Jaworski (Tony Franklin kick),20,7
4,2.0,Giants,Tom Mullady 22 yard pass from Scott Brunner (Joe Danelo kick),27,7
5,3.0,Eagles,Wilbert Montgomery 6 yard rush (Tony Franklin kick),27,14
6,4.0,Eagles,Wilbert Montgomery 1 yard rush (Tony Franklin kick),27,21
