,Quarter,Tm,Detail,OAK,MIN
0,1.0,Raiders,Chris Bahr 21 yard field goal,3,0
1,2.0,Raiders,Burgess Owens 30 yard interception return (Chris Bahr kick),10,0
2,2.0,Raiders,Todd Christensen 21 yard pass from Jim Plunkett,16,0
3,2.0,Vikings,Eddie Payton 99 yard kickoff return (Rick Danmeier kick),16,7
4,3.0,Vikings,Rick Danmeier 37 yard field goal,16,10
5,3.0,Raiders,Morris Bradshaw 12 yard pass from Jim Plunkett (Chris Bahr kick),23,10
6,4.0,Raiders,Cedrick Hardman 52 yard defensive fumble return (Chris Bahr kick),30,10
7,4.0,Raiders,Malcolm Barnwell 61 yard pass from Marc Wilson,36,10
