,Quarter,Tm,Detail,BKN,PIT
0,2.0,Dodgers,Ralph Kercheval 34 yard field goal,3,0
1,2.0,Pirates,Bill Sortet 50 yard pass from Whizzer White (Armand Niccolai kick),3,7
2,2.0,Dodgers,Jeff Barrett 54 yard pass from Ace Parker (Ralph Kercheval kick),10,7
3,4.0,Dodgers,Ace Parker 77 yard rush (Ace Parker kick),17,7
