,Quarter,Tm,Detail,TAM,NYJ
0,1.0,Jets,Freeman McNeil 4 yard rush (Pat Leahy kick),0,7
1,1.0,Jets,Freeman McNeil 5 yard rush (Pat Leahy kick),0,14
2,2.0,Buccaneers,Bill Capece 32 yard field goal,3,14
3,3.0,Jets,Pat Leahy 34 yard field goal,3,17
4,3.0,Buccaneers,James Wilder 1 yard rush (Bill Capece kick),10,17
5,3.0,Jets,Mickey Shuler 1 yard pass from Richard Todd,10,23
6,4.0,Jets,Scott Dierking 1 yard rush,10,29
7,4.0,Jets,Pat Leahy 29 yard field goal,10,32
8,4.0,Buccaneers,James Wilder 15 yard pass from Doug Williams (Bill Capece kick),17,32
