,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Amos Marsh 4 yard rush (Sam Baker kick),0,7
1,1.0,Redskins,Bobby Mitchell 6 yard pass from Norm Snead (Bob Khayat kick),7,7
2,2.0,Redskins,Norm Snead 1 yard rush (Bob Khayat kick),14,7
3,2.0,Cowboys,Frank Clarke 58 yard pass from Don Meredith (Sam Baker kick),14,14
4,3.0,Cowboys,Frank Clarke 11 yard pass from Eddie LeBaron (Sam Baker kick),14,21
5,3.0,Cowboys,Amos Marsh 6 yard rush (Sam Baker kick),14,28
6,3.0,Redskins,Bobby Mitchell 92 yard kickoff return (Bob Khayat kick),21,28
7,4.0,Cowboys,Frank Clarke 55 yard pass from Don Meredith (Sam Baker kick),21,35
8,4.0,Redskins,Bobby Mitchell 81 yard pass from Norm Snead (Bob Khayat kick),28,35
9,4.0,Redskins,Norm Snead 1 yard rush (Bob Khayat kick),35,35
