,Quarter,Tm,Detail,IND,NWE
0,2.0,Patriots,Irving Fryar 8 yard pass from Tom Ramsey (Tony Franklin kick),0,7
1,2.0,Patriots,Tony Franklin 34 yard field goal,0,10
2,3.0,Patriots,Willie Scott 3 yard blocked punt return (Tony Franklin kick),0,17
3,3.0,Patriots,Ronnie Lippett 45 yard interception return (Tony Franklin kick),0,24
